,day,date,hospitalized,icu,ventilated
0,-34,2020-02-25,,,
1,-33,2020-02-26,0.28310821138712994,0.08493246341613891,0.05662164227742594
2,-32,2020-02-27,0.3430340403402965,0.1029102121020889,0.0686068080680593
3,-31,2020-02-28,0.41564313266782427,0.12469293980034735,0.0831286265335649
4,-30,2020-02-29,0.5036192828166834,0.151085784845005,0.10072385656333666
5,-29,2020-03-01,0.6102138938691066,0.1830641681607319,0.1220427787738213
6,-28,2020-03-02,0.7393658901014439,0.2218097670304333,0.14787317802028876
7,-27,2020-03-03,0.895846899554074,0.2687540698662221,0.17916937991081483
8,-26,2020-03-04,1.085437002594766,0.32563110077843005,0.21708740051895337
9,-25,2020-03-05,1.3151374385949,0.39454123157846954,0.26302748771898
10,-24,2020-03-06,1.5934279793565027,0.47802839380695117,0.3186855958713004
11,-23,2020-03-07,1.9305782560452016,0.579173476813561,0.3861156512090407
12,-22,2020-03-08,2.3390242135148913,0.7017072640544666,0.46780484270297773
13,-21,2020-03-09,2.8338231158105103,0.8501469347431523,0.5667646231621024
14,-20,2020-03-10,3.43320319903985,1.0299609597119552,0.6866406398079699
15,-19,2020-03-11,4.159227227204671,1.247768168161402,0.8318454454409343
16,-18,2020-03-12,5.038592919617905,1.511577875885373,1.0077185839235812
17,-17,2020-03-13,6.103597549204952,1.8310792647614846,1.2207195098409906
18,-16,2020-03-14,7.393299012493188,2.217989703747957,1.4786598024986377
19,-15,2020-03-15,8.954911373580835,2.686473412074246,1.790982274716166
20,-14,2020-03-16,10.845479270080574,3.253643781024172,2.1690958540161134
21,-13,2020-03-17,13.133882546212703,3.940164763863816,2.626776509242543
22,-12,2020-03-18,15.903229828765959,4.770968948629786,3.1806459657531914
23,-11,2020-03-19,19.25370707026245,5.776112121078732,3.850741414052486
24,-10,2020-03-20,23.30595363282464,6.991786089847388,4.661190726564929
25,-9,2020-03-21,28.205043104884027,8.461512931465208,5.641008620976809
26,-8,2020-03-22,34.125146891872674,10.237544067561814,6.825029378374538
27,-7,2020-03-23,41.274952895726756,12.382485868718014,8.25499057914535
28,-6,2020-03-24,49.903895118044005,14.971168535413184,9.98077902360879
29,-5,2020-03-25,60.309216700344905,18.09276501010349,12.061843340068997
30,-4,2020-03-26,72.8438300739748,21.853149022192426,14.56876601479496
31,-3,2020-03-27,87.92484145003954,26.377452435011875,17.584968290007893
32,-2,2020-03-28,106.04245647560066,31.812736942680175,21.208491295120126
33,-1,2020-03-29,127.76875812204003,38.33062743661202,25.553751624408008
34,0,2020-03-30,153.76552008345323,46.129656025035985,30.753104016690656
35,1,2020-03-31,127.50493315819381,38.25147994745811,25.50098663163874
36,2,2020-04-01,142.2877266121809,42.686317983654305,28.457545322436204
37,3,2020-04-02,158.63482615737303,47.59044784721192,31.72696523147465
38,4,2020-04-03,176.67412495195845,53.00223748558756,35.33482499039167
39,5,2020-04-04,196.53430931726325,58.96029279517887,39.30686186345264
40,6,2020-04-05,218.34193474172184,65.50258042251653,43.668386948344335
