,day,date,hospitalized,icu,ventilated
68,29,2020-04-28,872.3403652742454,261.7021095822738,174.4680730548498
69,30,2020-04-29,878.5404732462266,263.56214197386726,175.70809464924469
70,31,2020-04-30,880.1409473938802,264.04228421816515,176.0281894787763
71,32,2020-05-01,877.148481220298,263.1445443660896,175.42969624405987
72,33,2020-05-02,869.6723905561048,260.9017171668311,173.93447811122087
73,34,2020-05-03,857.9189566707864,257.37568700123575,171.58379133415747
74,35,2020-05-04,842.1812346273109,252.65437038819255,168.43624692546246
75,36,2020-05-05,822.8251481088337,246.84754443265047,164.56502962176637
76,37,2020-05-06,800.2729584926856,240.08188754780713,160.05459169853748
77,38,2020-05-07,774.9853354032493,232.49560062097225,154.99706708064878
78,39,2020-05-08,747.4432607351191,224.232978220537,149.48865214702437
79,40,2020-05-09,718.1308808985123,215.43926426955386,143.62617617970318
80,41,2020-05-10,687.5202114417625,206.25606343252912,137.50404228835214
81,42,2020-05-11,656.0583319680554,196.81749959041645,131.21166639361036
82,43,2020-05-12,624.1574266080788,187.24722798242328,124.83148532161613
83,44,2020-05-13,592.1877605181289,177.65632815543813,118.43755210362451
84,45,2020-05-14,560.4734609846673,168.1420382953993,112.09469219693437
85,46,2020-05-15,529.2908068526449,158.7872420557942,105.85816137053007
86,47,2020-05-16,498.8686259294882,149.6605877788479,99.77372518589709
87,48,2020-05-17,469.39035232036986,140.81710569611096,93.87807046407488
88,49,2020-05-18,440.99729454242697,132.29918836272736,88.1994589084834
89,50,2020-05-19,413.79269846237,124.13780953870992,82.75853969247419
90,51,2020-05-20,387.84624414580685,116.35387324374278,77.56924882916155
91,52,2020-05-21,363.19868157745805,108.95960447323705,72.63973631549106
92,53,2020-05-22,339.8663781875548,101.9599134562668,67.97327563751242
93,54,2020-05-23,317.84561503322766,95.35368450996975,63.569123006645896
94,55,2020-05-24,297.1165245464035,89.13495736391815,59.42330490927907
95,56,2020-05-25,277.64660915122295,83.29398274536834,55.52932183024586
96,57,2020-05-26,259.393816417185,77.81814492515514,51.878763283436456
97,58,2020-05-27,242.30917337058418,72.69275201117671,48.46183467411811
98,59,2020-05-28,226.33900132020426,67.90170039605982,45.26780026403958
99,60,2020-05-29,211.42674449165497,63.42802334749649,42.285348898331904
100,61,2020-05-30,197.51445236410655,59.25433570923269,39.50289047282149
101,62,2020-05-31,184.5439582024119,55.363187460723566,36.90879164048238
102,63,2020-06-01,172.45779603748815,51.737338811246445,34.49155920749672
103,64,2020-06-02,161.19989621212153,48.35996886363682,32.23997924242485
104,65,2020-06-03,150.71609632036416,45.214828896107065,30.143219264071377
105,66,2020-06-04,140.95450048001658,42.286350144006065,28.190900096004043
106,67,2020-06-05,131.86571578634175,39.55971473590398,26.373143157268714
107,68,2020-06-06,123.40299077035888,37.020897231106574,24.68059815407196
108,69,2020-06-07,115.52227690087602,34.65668307026499,23.10445538017484
109,70,2020-06-08,108.18223072100955,32.45466921630032,21.636446144201727
110,71,2020-06-09,101.34417114614189,30.403251343843294,20.26883422922947
111,72,2020-06-10,94.97200378067646,28.49160113420112,18.994400756134382
112,73,2020-06-11,89.0321218197787,26.70963654593652,17.806424363957376
113,74,2020-06-12,83.49329116675653,25.047987350026233,16.698658233350216
