,day,date,hospitalized,icu,ventilated
0,-40,2020-02-20,,,
1,-39,2020-02-21,1.0,1.0,1.0
2,-38,2020-02-22,1.0,1.0,1.0
3,-37,2020-02-23,1.0,1.0,1.0
4,-36,2020-02-24,2.0,1.0,1.0
5,-35,2020-02-25,2.0,1.0,1.0
6,-34,2020-02-26,3.0,1.0,1.0
7,-33,2020-02-27,3.0,1.0,1.0
8,-32,2020-02-28,4.0,2.0,1.0
9,-31,2020-02-29,4.0,2.0,1.0
10,-30,2020-03-01,5.0,2.0,2.0
11,-29,2020-03-02,6.0,2.0,2.0
12,-28,2020-03-03,6.0,3.0,2.0
13,-27,2020-03-04,7.0,3.0,2.0
14,-26,2020-03-05,9.0,3.0,2.0
15,-25,2020-03-06,10.0,4.0,3.0
16,-24,2020-03-07,12.0,4.0,3.0
17,-23,2020-03-08,13.0,5.0,4.0
18,-22,2020-03-09,16.0,6.0,4.0
19,-21,2020-03-10,18.0,6.0,5.0
20,-20,2020-03-11,21.0,7.0,5.0
21,-19,2020-03-12,24.0,9.0,6.0
22,-18,2020-03-13,28.0,10.0,7.0
23,-17,2020-03-14,33.0,12.0,8.0
24,-16,2020-03-15,38.0,13.0,10.0
25,-15,2020-03-16,45.0,16.0,11.0
26,-14,2020-03-17,52.0,18.0,13.0
27,-13,2020-03-18,61.0,21.0,15.0
28,-12,2020-03-19,71.0,24.0,17.0
29,-11,2020-03-20,82.0,28.0,20.0
30,-10,2020-03-21,96.0,33.0,23.0
31,-9,2020-03-22,112.0,38.0,27.0
32,-8,2020-03-23,130.0,45.0,31.0
33,-7,2020-03-24,151.0,52.0,36.0
34,-6,2020-03-25,176.0,60.0,42.0
35,-5,2020-03-26,205.0,70.0,49.0
36,-4,2020-03-27,239.0,82.0,57.0
37,-3,2020-03-28,278.0,95.0,67.0
38,-2,2020-03-29,324.0,111.0,78.0
39,-1,2020-03-30,376.0,129.0,90.0
40,0,2020-03-31,437.0,150.0,105.0
41,1,2020-04-01,475.0,164.0,115.0
42,2,2020-04-02,512.0,179.0,126.0
43,3,2020-04-03,549.0,194.0,137.0
44,4,2020-04-04,586.0,210.0,149.0
45,5,2020-04-05,622.0,226.0,161.0
