,day,date,susceptible,infected,recovered
0,-40,2020-02-20,5026101.0,125.0,0.0
1,-39,2020-02-21,5026071.255298625,145.81612994701456,8.928571428571429
2,-38,2020-02-22,5026036.557446041,170.0985446770634,19.344009281929612
3,-37,2020-02-23,5025996.081721684,198.4243729860549,31.493905330291284
4,-36,2020-02-24,5025948.866117554,231.46680761644794,45.667074829295196
5,-35,2020-02-25,5025893.788496169,270.0110856003868,62.20041823047006
6,-34,2020-02-26,5025829.539952184,314.97312347079725,81.4869243447834
7,-33,2020-02-27,5025754.59374826,367.42124714660577,103.98500459269749
8,-32,2020-02-28,5025667.169091908,428.60152870295383,130.22937938888364
9,-31,2020-02-29,5025565.188899306,499.9673263976545,160.84377429623746
10,-30,2020-03-01,5025446.230551728,583.2137220900815,196.5557261817842
11,-29,2020-03-02,5025307.468487136,680.3176636758856,238.2138491882186
12,-28,2020-03-03,5025145.60728019,793.5847517876672,286.80796802221045
13,-27,2020-03-04,5024956.803644325,925.7037625256178,343.4925931499009
14,-26,2020-03-05,5024736.575535037,1079.8101744904666,409.6142904731593
15,-25,2020-03-06,5024479.696238964,1259.5601723856482,486.7435886510498
16,-24,2020-03-07,5024180.070992778,1469.2168348294667,576.7121723928818
17,-23,2020-03-08,5023830.593282908,1713.7504850681123,681.6562320235579
18,-22,2020-03-09,5023422.977524355,1998.9554946881028,804.0669809569945
19,-21,2020-03-10,5022947.564296503,2331.5861872048163,946.8495162918588
20,-20,2020-03-11,5022393.0937174,2719.5148957936003,1113.3913868064888
21,-19,2020-03-12,5021746.441856482,3171.9156927264385,1307.642450791746
22,-18,2020-03-13,5020992.314310233,3699.4778323518804,1534.2078574150628
23,-17,2020-03-14,5020112.890186854,4314.653539135297,1798.4562740116262
24,-16,2020-03-15,5019087.408756957,5031.9454305207155,2106.64581252129
25,-15,2020-03-16,5017891.689921689,5868.239592180917,2466.0704861299128
26,-14,2020-03-17,5016497.5784248505,6843.191118149208,2885.2304569999783
27,-13,2020-03-18,5014872.3003947,7979.6697827173575,3374.0298225820643
28,-12,2020-03-19,5012977.719354862,9304.274409504416,3944.006235633305
29,-11,2020-03-20,5010769.477315741,10847.925419375051,4608.59726488362
30,-10,2020-03-21,5008196.004988496,12646.545930950953,5383.449080553267
31,-9,2020-03-22,5005197.383618407,14741.842591686043,6286.773789906904
32,-8,2020-03-23,5001704.03951301,17182.197940534934,7339.76254645591
33,-7,2020-03-24,4997635.251189037,20023.68641161189,8567.062399351262
34,-6,2020-03-25,4992897.448390817,23331.22589471692,9997.325714466397
35,-5,2020-03-26,4987382.282334913,27179.8758152844,11663.841849803319
36,-4,2020-03-27,4980964.447815579,31656.290633525863,13605.261550895062
37,-3,2020-03-28,4973499.240808776,36860.3340236491,15866.42516757548
38,-2,2020-03-29,4964819.840664343,42906.85316639206,18499.3061692647
39,-1,2020-03-30,4954734.31482287,49927.603781695,21564.081395435565
40,0,2020-03-31,4943022.357446254,58073.3037453321,25130.338808413773
41,1,2020-04-01,4933644.8679245515,63302.70014236732,29278.431933080345
42,2,2020-04-02,4923442.344527923,68983.60210025709,33800.053371820875
43,3,2020-04-03,4912347.219413174,75151.32706498595,38727.453521839234
44,4,2020-04-04,4900287.333766099,81843.26077884794,44095.40545505252
45,5,2020-04-05,4887185.805759625,89098.84158683379,49941.35265354167
46,6,2020-04-06,4872960.933085906,96959.51129006436,56305.555624029796
47,7,2020-04-07,4857526.139468474,105468.62552963363,63231.23500189152
48,8,2020-04-08,4840789.975890588,114671.31585540337,70764.7082540082
49,9,2020-04-09,4822656.18864704,124614.29482356556,78955.51652939415
50,10,2020-04-10,4803023.867695293,135345.59471648675,87856.53758822028
51,11,2020-04-11,4781787.690088257,146914.2298437737,97524.08006796933
52,12,2020-04-12,4758838.274437051,159369.7719347094,108017.95362823886
53,13,2020-04-13,4734062.663278178,172761.82795538974,119401.50876643241
54,14,2020-04-14,4707344.950783283,187139.40988204195,131741.63933467452
55,15,2020-04-15,4678567.073305005,202550.18665446035,145108.74004053464
56,16,2020-04-16,4647609.7796303695,219039.60985377716,159576.61051585324
57,17,2020-04-17,4614353.796325829,236649.9067401913,175222.2969339802
58,18,2020-04-18,4578681.201004387,255418.93729447635,192125.86170113672
59,19,2020-04-19,4540477.012522953,275378.9159691619,210370.07150788503
60,20,2020-04-20,4499631.001838251,296555.00408463867,230039.99407711095
61,21,2020-04-21,4456039.720358745,318963.78527238447,251222.49436887086
62,22,2020-04-22,4409608.734035912,342611.64407576126,274005.6218883269
63,23,2020-04-23,4360255.041141686,367493.0766788612,298477.8821794527
64,24,2020-04-24,4307909.639808384,393588.97253510193,324727.3876565142
65,25,2020-04-25,4252520.198253227,420864.9160520371,352840.88569473574
66,26,2020-04-26,4194053.7666546274,449269.56793263427,382902.6654127384
67,27,2020-04-27,4132499.4555871394,478733.1955763627,414993.348836498
68,28,2020-04-28,4067870.992667728,509166.4302403186,449188.5770919523
69,29,2020-04-29,4000209.057723572,540459.3344530247,485557.6078234038
70,30,2020-04-30,3929583.2886093673,572480.8653920125,524161.8459986197
71,31,2020-05-01,3856093.846084003,605078.8175322332,565053.3363837635
72,32,2020-05-02,3779872.4281400265,638080.319938193,608273.2519217802
73,33,2020-05-03,3701082.632886074,671292.9494822746,653850.417631651
74,34,2020-05-04,3619919.585151281,704506.5008254773,701799.9140232422
75,35,2020-05-05,3536608.7655086583,737495.4275519936,752121.8069393476
76,36,2020-05-06,3451404.0108266915,770021.937408818,804800.0517644901
77,37,2020-05-07,3364584.6914389906,801839.6898387464,859801.6187222628
78,38,2020-05-08,3276452.109528295,832698.0081895316,917075.8822821733
79,39,2020-05-09,3187325.2036994686,862346.4848619631,976554.3114385684
80,40,2020-05-10,3097535.6829180457,890539.828153246,1038150.4889287086
81,41,2020-05-11,3007422.74587491,917042.7774711495,1101760.4766539405
82,42,2020-05-12,2917327.566520023,941634.9012923827,1167263.532187594
83,43,2020-05-13,2827587.7407129323,964115.091292875,1234523.1679941928
84,44,2020-05-14,2738531.891291868,984305.5770501625,1303388.5316579696
85,45,2020-05-15,2650474.61908464,1002055.3080395218,1373696.0728758383
86,46,2020-05-16,2563711.966331014,1017242.5816474678,1445271.4520215185
87,47,2020-05-17,2478517.5285525634,1029776.8350225276,1517931.636424909
88,48,2020-05-18,2395139.3137863316,1039599.5615728648,1591487.124640804
89,49,2020-05-19,2313797.4074538182,1046684.356364459,1665744.236181723
90,50,2020-05-20,2234682.460220565,1051036.135285965,1740507.40449347
91,51,2020-05-21,2157954.9780045054,1052689.6078387413,1815581.414156753
92,52,2020-05-22,2083745.36025254,1051707.1107450821,1890773.5290023775
93,53,2020-05-23,2012154.6064256171,1048175.9280902134,1965895.465484169
94,54,2020-05-24,1943255.5922036832,1042205.2331628464,2040765.1746334701
95,55,2020-05-25,1877094.8063581095,1033922.788068217,2115208.4055736735
96,56,2020-05-26,1813694.4359981553,1023471.5307090129,2189060.033292832
97,57,2020-05-27,1753054.6909511767,1011006.1664196334,2262165.14262919
98,58,2020-05-28,1695156.2660597581,996689.8651382211,2334379.868802021
99,59,2020-05-29,1639962.8517356166,980691.1462382041,2405572.0020261793
100,60,2020-05-30,1587423.616802423,963181.0135829544,2475621.3696146226
101,61,2020-05-31,1537475.602241906,944330.3843161175,2544420.0134419766
102,62,2020-06-01,1490045.978905061,924307.8373446686,2611872.183750271
103,63,2020-06-02,1445054.1357889276,903277.6920790399,2677894.172132033
104,64,2020-06-03,1402413.5775835984,881398.4151358661,2742414.007280536
105,65,2020-06-04,1362033.620562196,858821.3425047062,2805371.0369330975
106,66,2020-06-05,1323820.8844030437,835689.6970563795,2866715.4185405765
107,67,2020-06-06,1287680.584225908,812137.8760152024,2926407.5397588895
108,68,2020-06-07,1253517.6321216633,788290.9798326468,2984417.3880456896
109,69,2020-06-08,1221237.560948648,764264.5524461874,3040723.8866051645
110,70,2020-06-09,1190747.2853827758,740164.5028373318,3095314.211779892
111,71,2020-06-10,1161955.7163733144,716087.178786984,3148183.104839701
112,72,2020-06-11,1134774.2454941026,692119.5654671256,3199332.1890387717
113,73,2020-06-12,1109117.1153926968,668339.583749451,3248769.300857852
