,day,date,hospitalized,icu,ventilated
131,92,2020-06-30,234.0,97.0,74.0
132,93,2020-07-01,220.0,91.0,70.0
133,94,2020-07-02,208.0,86.0,66.0
134,95,2020-07-03,196.0,81.0,62.0
135,96,2020-07-04,185.0,76.0,58.0
136,97,2020-07-05,174.0,72.0,55.0
137,98,2020-07-06,164.0,68.0,52.0
138,99,2020-07-07,155.0,64.0,49.0
139,100,2020-07-08,146.0,60.0,46.0
140,101,2020-07-09,138.0,57.0,44.0
141,102,2020-07-10,130.0,54.0,41.0
142,103,2020-07-11,123.0,51.0,39.0
143,104,2020-07-12,116.0,48.0,37.0
144,105,2020-07-13,110.0,45.0,35.0
145,106,2020-07-14,104.0,43.0,33.0
146,107,2020-07-15,98.0,40.0,31.0
147,108,2020-07-16,92.0,38.0,29.0
148,109,2020-07-17,87.0,36.0,28.0
149,110,2020-07-18,82.0,34.0,26.0
150,111,2020-07-19,78.0,32.0,
151,112,2020-07-20,74.0,,
152,113,2020-07-21,70.0,,
153,114,2020-07-22,,,
154,115,2020-07-23,,,
155,116,2020-07-24,,,
156,117,2020-07-25,,,
157,118,2020-07-26,,,
158,119,2020-07-27,,,
159,120,2020-07-28,,,
