day,hosp,icu,vent,scenario
30,3455.079251215374,1382.0317004861495,691.0158502430747,test_soc_5
31,3666.762918670811,1466.7051674683241,733.3525837341621,test_soc_5
32,3887.941756849415,1555.1767027397661,777.5883513698831,test_soc_5
33,4118.5806143366135,1647.432245734645,823.7161228673225,test_soc_5
34,4358.574626247315,1743.4298504989258,871.7149252494629,test_soc_5
35,4607.741859927922,1843.0967439711685,921.5483719855843,test_soc_5
36,4865.81614920842,1946.3264596833678,973.1632298416839,test_soc_5
37,5132.440303635716,2052.9761214542864,1026.4880607271432,test_soc_5
38,5407.159901431702,2162.8639605726803,1081.4319802863401,test_soc_5
39,5689.417893834484,2275.7671575337936,1137.8835787668968,test_soc_5
40,5978.5502623802,2391.42010495208,1195.71005247604,test_soc_5
41,6273.782977858748,2509.513191143499,1254.7565955717496,test_soc_5
42,6574.230508430985,2629.692203372394,1314.846101686197,test_soc_5
43,6878.896113159483,2751.558445263793,1375.7792226318966,test_soc_5
44,7186.674134685521,2874.669653874208,1437.334826937104,test_soc_5
45,7496.354470115993,2998.541788046397,1499.2708940231985,test_soc_5
46,7806.6293520826375,3122.651740833055,1561.3258704165276,test_soc_5
47,8116.102512841431,3246.4410051365717,1623.2205025682858,test_soc_5
48,8423.300734456163,3369.3202937824653,1684.6601468912327,test_soc_5
49,8726.687709698905,3490.675083879561,1745.3375419397805,test_soc_5
50,9024.680054301672,3609.8720217206687,1804.9360108603344,test_soc_5
51,9315.665225371768,3726.266090148707,1863.1330450743535,test_soc_5
52,9598.021017479781,3839.2084069919124,1919.6042034959562,test_soc_5
53,9870.136231805753,3948.054492722301,1974.0272463611504,test_soc_5
54,10130.432049440113,4052.172819776045,2026.0864098880224,test_soc_5
55,10377.383591769754,4150.953436707901,2075.4767183539507,test_soc_5
56,10609.541122393603,4243.816448957441,2121.9082244787205,test_soc_5
57,10825.550338703877,4330.220135481551,2165.1100677407753,test_soc_5
58,11024.171218324132,4409.668487329653,2204.8342436648263,test_soc_5
59,11204.294925735043,4481.717970294017,2240.8589851470083,test_soc_5
60,11364.958345880072,4545.983338352028,2272.991669176014,test_soc_5
61,11505.355891187919,4602.142356475168,2301.071178237584,test_soc_5
62,11624.848321998032,4649.939328799212,2324.969664399606,test_soc_5
63,11722.968422745573,4689.187369098229,2344.5936845491146,test_soc_5
64,11799.423481962383,4719.769392784953,2359.8846963924766,test_soc_5
65,11854.094627703676,4741.63785108147,2370.818925540735,test_soc_5
66,11887.033166354264,4754.813266541705,2377.4066332708526,test_soc_5
67,11898.454157592174,4759.381663036869,2379.6908315184346,test_soc_5
68,11888.727528285895,4755.491011314358,2377.745505657179,test_soc_5
69,11858.367081115979,4743.346832446391,2371.6734162231955,test_soc_5
70,11808.01778877023,4723.207115508092,2361.603557754046,test_soc_5
71,11738.441781813368,4695.376712725348,2347.688356362674,test_soc_5
72,11650.503438904147,4660.201375561658,2330.100687780829,test_soc_5
73,11545.153973829916,4618.061589531967,2309.0307947659835,test_soc_5
74,11423.415887298584,4569.366354919434,2284.683177459717,test_soc_5
75,11286.367615329844,4514.547046131936,2257.273523065968,test_soc_5
76,11135.12866326687,4454.0514653067485,2227.0257326533742,test_soc_5
77,10970.84546763404,4388.338187053616,2194.169093526808,test_soc_5
78,10794.678179793775,4317.871271917509,2158.9356359587546,test_soc_5
79,10607.788517759056,4243.115407103623,2121.5577035518113,test_soc_5
80,10411.328787339347,4164.531514935738,2082.265757467869,test_soc_5
81,10206.432132355663,4082.5728529422654,2041.2864264711327,test_soc_5
82,9994.204036858142,3997.6816147432564,1998.8408073716282,test_soc_5
83,9775.715070643233,3910.286028257293,1955.1430141286464,test_soc_5
84,9551.994843096598,3820.7979372386394,1910.3989686193197,test_soc_5
85,9324.02710941522,3729.610843766088,1864.805421883044,test_soc_5
86,9092.745957314472,3637.098382925789,1818.5491914628944,test_soc_5
87,8859.032990984055,3543.6131963936214,1771.8065981968107,test_soc_5
88,8623.71542180638,3449.4861687225525,1724.7430843612763,test_soc_5
89,8387.56497163045,3355.02598865218,1677.51299432609,test_soc_5
90,8151.29749362847,3260.5189974513883,1630.2594987256941,test_soc_5
91,7915.573217393159,3166.229286957263,1583.1146434786315,test_soc_5
92,7680.997528437788,3072.399011375115,1536.1995056875576,test_soc_5
93,7448.122197166013,2979.248878866405,1489.6244394332025,test_soc_5
94,7217.44697826746,2886.978791306983,1443.4893956534916,test_soc_5
95,6989.421508011787,2795.768603204715,1397.8843016023575,test_soc_5
96,6764.447433760638,2705.7789735042547,1352.8894867521274,test_soc_5
97,6542.880716952314,2617.152286780926,1308.576143390463,test_soc_5
98,6325.034057647678,2530.0136230590715,1265.0068115295358,test_soc_5
99,6111.179395313331,2444.471758125332,1222.235879062666,test_soc_5
100,5901.550446754075,2360.6201787016294,1180.3100893508147,test_soc_5
101,5696.34524791984,2278.538099167936,1139.269049583968,test_soc_5
102,5495.728671658098,2198.2914686632394,1099.1457343316197,test_soc_5
103,5299.834898340215,2119.9339593360855,1059.9669796680428,test_soc_5
104,5108.769820654628,2043.5079282618512,1021.7539641309256,test_soc_5
