day,hospitalized,icu,ventilated
45,26803.978638500135,8041.193591550039,5360.795727700027
46,27444.787200692543,8233.436160207762,5488.957440138508
47,28050.860145508803,8415.258043652639,5610.17202910176
48,28622.664937519705,8586.79948125591,5724.532987503941
49,29160.958557655962,8748.28756729679,5832.191711531192
50,29666.731906570265,8900.01957197108,5933.346381314052
51,30141.15766622122,9042.347299866364,6028.231533244243
52,30585.54284499189,9175.662853497564,6117.108568998377
53,31001.286726739574,9300.38601802187,6200.257345347914
54,31389.84452388452,9416.953357165356,6277.968904776904
55,31752.69670624788,9525.809011874364,6350.539341249576
56,32091.32373787942,9627.397121363825,6418.264747575884
57,32407.185794043242,9722.155738212972,6481.437158808649
58,32701.706936890987,9810.512081067296,6540.341387378197
59,32976.263187145414,9892.878956143624,6595.252637429083
60,33232.17392693879,9969.652178081638,6646.434785387758
61,33470.696093960025,10041.208828188008,6694.1392187920055
62,33693.0206694395,10107.90620083185,6738.604133887901
63,33900.271014518476,10170.08130435554,6780.054202903694
64,34093.502665446125,10228.050799633835,6818.700533089223
65,34273.704253751086,10282.111276125324,6854.740850750218
66,34441.79927035518,10332.539781106554,6888.359854071037
67,34598.648440920435,10379.594532276127,6919.729688184086
68,34745.05252272786,10423.515756818359,6949.010504545573
69,34881.755370824205,10464.52661124726,6976.351074164841
70,35009.4471531642,10502.834145949257,7001.889430632839
71,35128.767621382074,10538.630286414622,7025.753524276415
72,35240.309366132766,10572.092809839827,7048.061873226552
73,35344.6210041984,10603.38630125952,7068.924200839681
74,35442.21025930895,10632.663077792684,7088.442051861791
75,35533.54691040231,10660.064073120691,7106.709382080461
76,35619.065590332524,10685.719677099756,7123.813118066505
77,35699.168425252945,10709.750527575883,7139.833685050589
78,35774.227510429475,10732.268253128841,7154.845502085895
79,35844.58722239817,10753.37616671945,7168.9174444796345
80,35910.56637044251,10773.169911132753,7182.113274088502
81,35972.46019255329,10791.738057765986,7194.492038510659
82,36030.542202537195,10809.16266076116,7206.108440507439
83,36085.065895908585,10825.519768772574,7217.0131791817175
84,36136.266322757874,10840.87989682736,7227.253264551574
85,36184.36153603845,10855.308460811535,7236.87230720769
86,36229.55392373093,10868.866177119278,7245.9107847461855
87,36272.03143319136,10881.609429957409,7254.406286638272
88,36311.968695719246,10893.590608715771,7262.3937391438485
89,36349.52805902784,10904.85841770835,7269.905611805568
90,36384.86053489508,10915.458160468525,7276.972106979016
91,36418.106668839304,10925.43200065179,7283.621333767862
92,36449.3973382172,10934.819201465158,7289.87946764344
93,36478.85448469471,10943.656345408412,7295.770896938942
94,36506.59178660376,10951.977535981128,7301.3183573207525
95,36532.715276274466,10959.81458288234,7306.543055254893
96,36557.323907029364,10967.197172108807,7311.464781405873
